Year,Gebietseinheit,sex,GeoCode,Value
2016,Statistische Region Hannover,weiblich,3,115210
2017,Statistische Region Hannover,,3,257705
2017,Statistische Region Hannover,maennlich,3,137570
2017,Statistische Region Hannover,weiblich,3,120130
2018,Statistische Region Hannover,,3,268505
2018,Statistische Region Hannover,maennlich,3,143420
2018,Statistische Region Hannover,weiblich,3,125085
1978,Hannover-Region,,K03241,65900
1978,Hannover-Region,maennlich,K03241,38124
1978,Hannover-Region,weiblich,K03241,27776
1979,Hannover-Region,,K03241,68896
1979,Hannover-Region,maennlich,K03241,39878
1979,Hannover-Region,weiblich,K03241,29018
1980,Hannover-Region,,K03241,75600
1980,Hannover-Region,maennlich,K03241,44151
1980,Hannover-Region,weiblich,K03241,31449
1981,Hannover-Region,,K03241,79836
1981,Hannover-Region,maennlich,K03241,46514
1981,Hannover-Region,weiblich,K03241,33322
1982,Hannover-Region,,K03241,79742
1982,Hannover-Region,maennlich,K03241,45976
1982,Hannover-Region,weiblich,K03241,33766
1983,Hannover-Region,,K03241,77681
1983,Hannover-Region,maennlich,K03241,44587
1983,Hannover-Region,weiblich,K03241,33094
1984,Hannover-Region,,K03241,74693
1984,Hannover-Region,maennlich,K03241,42754
1984,Hannover-Region,weiblich,K03241,31939
1985,Hannover-Region,,K03241,74488
1985,Hannover-Region,maennlich,K03241,42481
1985,Hannover-Region,weiblich,K03241,32007
1986,Hannover-Region,,K03241,76543
1986,Hannover-Region,maennlich,K03241,43378
1986,Hannover-Region,weiblich,K03241,33165
1987,Hannover-Region,,K03241,78038
1987,Hannover-Region,maennlich,K03241,44001
1987,Hannover-Region,weiblich,K03241,34037
1990,Hannover-Region,,K03241,84727
1990,Hannover-Region,maennlich,K03241,46769
1990,Hannover-Region,weiblich,K03241,37958
1991,Hannover-Region,,K03241,89861
1991,Hannover-Region,maennlich,K03241,49624
1991,Hannover-Region,weiblich,K03241,40237
1992,Hannover-Region,,K03241,98470
1992,Hannover-Region,maennlich,K03241,54745
1992,Hannover-Region,weiblich,K03241,43725
1993,Hannover-Region,,K03241,107745
1993,Hannover-Region,maennlich,K03241,59693
1993,Hannover-Region,weiblich,K03241,48052
1994,Hannover-Region,,K03241,109077
1994,Hannover-Region,maennlich,K03241,59786
1994,Hannover-Region,weiblich,K03241,49291
1995,Hannover-Region,,K03241,115606
1995,Hannover-Region,maennlich,K03241,63277
1995,Hannover-Region,weiblich,K03241,52329
1996,Hannover-Region,,K03241,121607
1996,Hannover-Region,maennlich,K03241,66428
1996,Hannover-Region,weiblich,K03241,55179
1997,Hannover-Region,,K03241,123695
1997,Hannover-Region,maennlich,K03241,66735
1997,Hannover-Region,weiblich,K03241,56960
1998,Hannover-Region,,K03241,122533
1998,Hannover-Region,maennlich,K03241,65519
1998,Hannover-Region,weiblich,K03241,57014
1999,Hannover-Region,,K03241,123338
1999,Hannover-Region,maennlich,K03241,65515
1999,Hannover-Region,weiblich,K03241,57823
2000,Hannover-Region,,K03241,123595
2000,Hannover-Region,maennlich,K03241,65012
2000,Hannover-Region,weiblich,K03241,58583
2001,Hannover-Region,,K03241,123791
2001,Hannover-Region,maennlich,K03241,64557
2001,Hannover-Region,weiblich,K03241,59234
2002,Hannover-Region,,K03241,126362
2002,Hannover-Region,maennlich,K03241,65586
2002,Hannover-Region,weiblich,K03241,60776
2003,Hannover-Region,,K03241,125721
2003,Hannover-Region,maennlich,K03241,64637
2003,Hannover-Region,weiblich,K03241,61084
2004,Hannover-Region,,K03241,114821
2004,Hannover-Region,maennlich,K03241,57892
2004,Hannover-Region,weiblich,K03241,56929
2005,Hannover-Region,,K03241,115165
2005,Hannover-Region,maennlich,K03241,57878
2005,Hannover-Region,weiblich,K03241,57287
2006,Hannover-Region,,K03241,115063
2006,Hannover-Region,maennlich,K03241,57711
2006,Hannover-Region,weiblich,K03241,57352
2007,Hannover-Region,,K03241,114709
2007,Hannover-Region,maennlich,K03241,57277
2007,Hannover-Region,weiblich,K03241,57432
2008,Hannover-Region,,K03241,112514
2008,Hannover-Region,maennlich,K03241,56091
2008,Hannover-Region,weiblich,K03241,56423
2009,Hannover-Region,,K03241,111911
2009,Hannover-Region,maennlich,K03241,55776
2009,Hannover-Region,weiblich,K03241,56135
2010,Hannover-Region,,K03241,112021
2010,Hannover-Region,maennlich,K03241,55910
2010,Hannover-Region,weiblich,K03241,56111
2011,Hannover-Region,,K03241,115062
2011,Hannover-Region,maennlich,K03241,57664
2011,Hannover-Region,weiblich,K03241,57398
2012,Hannover-Region,,K03241,119366
2012,Hannover-Region,maennlich,K03241,60256
2012,Hannover-Region,weiblich,K03241,59110
2013,Hannover-Region,,K03241,126962
2013,Hannover-Region,maennlich,K03241,64734
2013,Hannover-Region,weiblich,K03241,62228
2014,Hannover-Region,,K03241,136533
2014,Hannover-Region,maennlich,K03241,70318
2014,Hannover-Region,weiblich,K03241,66215
2015,Hannover-Region,,K03241,154696
2015,Hannover-Region,maennlich,K03241,82066
2015,Hannover-Region,weiblich,K03241,72630
2016,Hannover-Region,,K03241,168735
2016,Hannover-Region,maennlich,K03241,89890
2016,Hannover-Region,weiblich,K03241,78840
2017,Hannover-Region,,K03241,175170
2017,Hannover-Region,maennlich,K03241,93215
2017,Hannover-Region,weiblich,K03241,81950
2018,Hannover-Region,,K03241,181570
2018,Hannover-Region,maennlich,K03241,96690
2018,Hannover-Region,weiblich,K03241,84880
1978,Hannover-Landeshauptstadt,,K03001,44993
1978,Hannover-Landeshauptstadt,maennlich,K03001,25886
1978,Hannover-Landeshauptstadt,weiblich,K03001,19107
1979,Hannover-Landeshauptstadt,,K03001,46989
1979,Hannover-Landeshauptstadt,maennlich,K03001,27094
1979,Hannover-Landeshauptstadt,weiblich,K03001,19895
1980,Hannover-Landeshauptstadt,,K03001,51820
1980,Hannover-Landeshauptstadt,maennlich,K03001,30301
1980,Hannover-Landeshauptstadt,weiblich,K03001,21519
1981,Hannover-Landeshauptstadt,,K03001,54540
1981,Hannover-Landeshauptstadt,maennlich,K03001,31753
1981,Hannover-Landeshauptstadt,weiblich,K03001,22787
1982,Hannover-Landeshauptstadt,,K03001,54237
1982,Hannover-Landeshauptstadt,maennlich,K03001,31184
1982,Hannover-Landeshauptstadt,weiblich,K03001,23053
1983,Hannover-Landeshauptstadt,,K03001,53001
1983,Hannover-Landeshauptstadt,maennlich,K03001,30414
1983,Hannover-Landeshauptstadt,weiblich,K03001,22587
1984,Hannover-Landeshauptstadt,,K03001,51034
1984,Hannover-Landeshauptstadt,maennlich,K03001,29235
1984,Hannover-Landeshauptstadt,weiblich,K03001,21799
1985,Hannover-Landeshauptstadt,,K03001,51141
1985,Hannover-Landeshauptstadt,maennlich,K03001,29181
1985,Hannover-Landeshauptstadt,weiblich,K03001,21960
1986,Hannover-Landeshauptstadt,,K03001,52382
1986,Hannover-Landeshauptstadt,maennlich,K03001,29719
1986,Hannover-Landeshauptstadt,weiblich,K03001,22663
1987,Hannover-Landeshauptstadt,,K03001,53319
1987,Hannover-Landeshauptstadt,maennlich,K03001,30119
1987,Hannover-Landeshauptstadt,weiblich,K03001,23200
1990,Hannover-Landeshauptstadt,,K03001,57052
1990,Hannover-Landeshauptstadt,maennlich,K03001,31601
1990,Hannover-Landeshauptstadt,weiblich,K03001,25451
1991,Hannover-Landeshauptstadt,,K03001,59603
1991,Hannover-Landeshauptstadt,maennlich,K03001,33035
1991,Hannover-Landeshauptstadt,weiblich,K03001,26568
1992,Hannover-Landeshauptstadt,,K03001,64573
1992,Hannover-Landeshauptstadt,maennlich,K03001,36009
1992,Hannover-Landeshauptstadt,weiblich,K03001,28564
1993,Hannover-Landeshauptstadt,,K03001,70704
1993,Hannover-Landeshauptstadt,maennlich,K03001,39401
1993,Hannover-Landeshauptstadt,weiblich,K03001,31303
1994,Hannover-Landeshauptstadt,,K03001,72157
1994,Hannover-Landeshauptstadt,maennlich,K03001,39755
1994,Hannover-Landeshauptstadt,weiblich,K03001,32402
1995,Hannover-Landeshauptstadt,,K03001,78011
1995,Hannover-Landeshauptstadt,maennlich,K03001,43095
1995,Hannover-Landeshauptstadt,weiblich,K03001,34916
1996,Hannover-Landeshauptstadt,,K03001,82858
1996,Hannover-Landeshauptstadt,maennlich,K03001,45687
1996,Hannover-Landeshauptstadt,weiblich,K03001,37171
1997,Hannover-Landeshauptstadt,,K03001,84355
1997,Hannover-Landeshauptstadt,maennlich,K03001,45837
1997,Hannover-Landeshauptstadt,weiblich,K03001,38518
1998,Hannover-Landeshauptstadt,,K03001,83253
1998,Hannover-Landeshauptstadt,maennlich,K03001,44706
1998,Hannover-Landeshauptstadt,weiblich,K03001,38547
1999,Hannover-Landeshauptstadt,,K03001,83675
1999,Hannover-Landeshauptstadt,maennlich,K03001,44717
1999,Hannover-Landeshauptstadt,weiblich,K03001,38958
2000,Hannover-Landeshauptstadt,,K03001,84161
2000,Hannover-Landeshauptstadt,maennlich,K03001,44526
2000,Hannover-Landeshauptstadt,weiblich,K03001,39635
2001,Hannover-Landeshauptstadt,,K03001,85224
2001,Hannover-Landeshauptstadt,maennlich,K03001,44659
2001,Hannover-Landeshauptstadt,weiblich,K03001,40565
2002,Hannover-Landeshauptstadt,,K03001,86897
2002,Hannover-Landeshauptstadt,maennlich,K03001,45322
2002,Hannover-Landeshauptstadt,weiblich,K03001,41575
2003,Hannover-Landeshauptstadt,,K03001,85476
2003,Hannover-Landeshauptstadt,maennlich,K03001,44142
2003,Hannover-Landeshauptstadt,weiblich,K03001,41334
2004,Hannover-Landeshauptstadt,,K03001,75152
2004,Hannover-Landeshauptstadt,maennlich,K03001,37916
2004,Hannover-Landeshauptstadt,weiblich,K03001,37236
2005,Hannover-Landeshauptstadt,,K03001,75016
2005,Hannover-Landeshauptstadt,maennlich,K03001,37754
2005,Hannover-Landeshauptstadt,weiblich,K03001,37262
2006,Hannover-Landeshauptstadt,,K03001,74898
2006,Hannover-Landeshauptstadt,maennlich,K03001,37640
2006,Hannover-Landeshauptstadt,weiblich,K03001,37258
2007,Hannover-Landeshauptstadt,,K03001,74977
2007,Hannover-Landeshauptstadt,maennlich,K03001,37592
2007,Hannover-Landeshauptstadt,weiblich,K03001,37385
2008,Hannover-Landeshauptstadt,,K03001,74111
2008,Hannover-Landeshauptstadt,maennlich,K03001,37061
2008,Hannover-Landeshauptstadt,weiblich,K03001,37050
2009,Hannover-Landeshauptstadt,,K03001,73483
2009,Hannover-Landeshauptstadt,maennlich,K03001,36784
2009,Hannover-Landeshauptstadt,weiblich,K03001,36699
2010,Hannover-Landeshauptstadt,,K03001,73448
2010,Hannover-Landeshauptstadt,maennlich,K03001,36823
2010,Hannover-Landeshauptstadt,weiblich,K03001,36625
2011,Hannover-Landeshauptstadt,,K03001,75793
2011,Hannover-Landeshauptstadt,maennlich,K03001,38216
2011,Hannover-Landeshauptstadt,weiblich,K03001,37577
2012,Hannover-Landeshauptstadt,,K03001,78442
2012,Hannover-Landeshauptstadt,maennlich,K03001,39776
2012,Hannover-Landeshauptstadt,weiblich,K03001,38666
2013,Hannover-Landeshauptstadt,,K03001,82727
2013,Hannover-Landeshauptstadt,maennlich,K03001,42261
2013,Hannover-Landeshauptstadt,weiblich,K03001,40466
2014,Hannover-Landeshauptstadt,,K03001,88541
2014,Hannover-Landeshauptstadt,maennlich,K03001,45681
2014,Hannover-Landeshauptstadt,weiblich,K03001,42860
2015,Hannover-Landeshauptstadt,,K03001,97357
2015,Hannover-Landeshauptstadt,maennlich,K03001,51643
2015,Hannover-Landeshauptstadt,weiblich,K03001,45714
2016,Hannover-Landeshauptstadt,,K03001,104465
2016,Hannover-Landeshauptstadt,maennlich,K03001,55530
2016,Hannover-Landeshauptstadt,weiblich,K03001,48935
2017,Hannover-Landeshauptstadt,,K03001,107965
2017,Hannover-Landeshauptstadt,maennlich,K03001,57435
2017,Hannover-Landeshauptstadt,weiblich,K03001,50530
2018,Hannover-Landeshauptstadt,,K03001,111255
2018,Hannover-Landeshauptstadt,maennlich,K03001,59325
2018,Hannover-Landeshauptstadt,weiblich,K03001,51925
1978,Diepholz,,K03251,2239
1978,Diepholz,maennlich,K03251,1334
1978,Diepholz,weiblich,K03251,905
1979,Diepholz,,K03251,2256
1979,Diepholz,maennlich,K03251,1320
1979,Diepholz,weiblich,K03251,936
1980,Diepholz,,K03251,2644
1980,Diepholz,maennlich,K03251,1573
1980,Diepholz,weiblich,K03251,1071
1981,Diepholz,,K03251,2822
1981,Diepholz,maennlich,K03251,1671
1981,Diepholz,weiblich,K03251,1151
1982,Diepholz,,K03251,3057
1982,Diepholz,maennlich,K03251,1812
1982,Diepholz,weiblich,K03251,1245
1983,Diepholz,,K03251,2927
1983,Diepholz,maennlich,K03251,1669
1983,Diepholz,weiblich,K03251,1258
1984,Diepholz,,K03251,2776
1984,Diepholz,maennlich,K03251,1555
1984,Diepholz,weiblich,K03251,1221
1985,Diepholz,,K03251,2877
1985,Diepholz,maennlich,K03251,1635
1985,Diepholz,weiblich,K03251,1242
1986,Diepholz,,K03251,3211
1986,Diepholz,maennlich,K03251,1821
1986,Diepholz,weiblich,K03251,1390
1987,Diepholz,,K03251,3377
1987,Diepholz,maennlich,K03251,1893
1987,Diepholz,weiblich,K03251,1484
1990,Diepholz,,K03251,4876
1990,Diepholz,maennlich,K03251,2750
1990,Diepholz,weiblich,K03251,2126
1991,Diepholz,,K03251,5858
1991,Diepholz,maennlich,K03251,3349
1991,Diepholz,weiblich,K03251,2509
1992,Diepholz,,K03251,7560
1992,Diepholz,maennlich,K03251,4355
1992,Diepholz,weiblich,K03251,3205
1993,Diepholz,,K03251,8384
1993,Diepholz,maennlich,K03251,4754
1993,Diepholz,weiblich,K03251,3630
1994,Diepholz,,K03251,8538
1994,Diepholz,maennlich,K03251,4664
1994,Diepholz,weiblich,K03251,3874
1995,Diepholz,,K03251,8961
1995,Diepholz,maennlich,K03251,4880
1995,Diepholz,weiblich,K03251,4081
1996,Diepholz,,K03251,9110
1996,Diepholz,maennlich,K03251,4959
1996,Diepholz,weiblich,K03251,4151
1997,Diepholz,,K03251,8764
1997,Diepholz,maennlich,K03251,4716
1997,Diepholz,weiblich,K03251,4048
1998,Diepholz,,K03251,8466
1998,Diepholz,maennlich,K03251,4479
1998,Diepholz,weiblich,K03251,3987
1999,Diepholz,,K03251,8424
1999,Diepholz,maennlich,K03251,4357
1999,Diepholz,weiblich,K03251,4067
2000,Diepholz,,K03251,8309
2000,Diepholz,maennlich,K03251,4309
2000,Diepholz,weiblich,K03251,4000
2001,Diepholz,,K03251,8299
2001,Diepholz,maennlich,K03251,4225
2001,Diepholz,weiblich,K03251,4074
2002,Diepholz,,K03251,8288
2002,Diepholz,maennlich,K03251,4194
2002,Diepholz,weiblich,K03251,4094
2003,Diepholz,,K03251,8241
2003,Diepholz,maennlich,K03251,4134
2003,Diepholz,weiblich,K03251,4107
2004,Diepholz,,K03251,8228
2004,Diepholz,maennlich,K03251,4095
2004,Diepholz,weiblich,K03251,4133
2005,Diepholz,,K03251,8256
2005,Diepholz,maennlich,K03251,4080
2005,Diepholz,weiblich,K03251,4176
2006,Diepholz,,K03251,8139
2006,Diepholz,maennlich,K03251,3986
2006,Diepholz,weiblich,K03251,4153
2007,Diepholz,,K03251,8229
2007,Diepholz,maennlich,K03251,3992
2007,Diepholz,weiblich,K03251,4237
2008,Diepholz,,K03251,8105
2008,Diepholz,maennlich,K03251,3938
2008,Diepholz,weiblich,K03251,4167
2009,Diepholz,,K03251,8099
2009,Diepholz,maennlich,K03251,3930
2009,Diepholz,weiblich,K03251,4169
2010,Diepholz,,K03251,8183
2010,Diepholz,maennlich,K03251,3996
2010,Diepholz,weiblich,K03251,4187
2011,Diepholz,,K03251,8386
2011,Diepholz,maennlich,K03251,4098
2011,Diepholz,weiblich,K03251,4288
2012,Diepholz,,K03251,9184
2012,Diepholz,maennlich,K03251,4548
2012,Diepholz,weiblich,K03251,4636
2013,Diepholz,,K03251,10761
2013,Diepholz,maennlich,K03251,5516
2013,Diepholz,weiblich,K03251,5245
2014,Diepholz,,K03251,11631
2014,Diepholz,maennlich,K03251,5960
2014,Diepholz,weiblich,K03251,5671
2015,Diepholz,,K03251,13826
2015,Diepholz,maennlich,K03251,7230
2015,Diepholz,weiblich,K03251,6596
2016,Diepholz,,K03251,15540
2016,Diepholz,maennlich,K03251,8280
2016,Diepholz,weiblich,K03251,7260
2017,Diepholz,,K03251,16065
2017,Diepholz,maennlich,K03251,8480
2017,Diepholz,weiblich,K03251,7585
2018,Diepholz,,K03251,17565
2018,Diepholz,maennlich,K03251,9285
2018,Diepholz,weiblich,K03251,8285
1978,Hameln-Pyrmont,,K03252,7659
1978,Hameln-Pyrmont,maennlich,K03252,4244
1978,Hameln-Pyrmont,weiblich,K03252,3415
1979,Hameln-Pyrmont,,K03252,7728
1979,Hameln-Pyrmont,maennlich,K03252,4269
1979,Hameln-Pyrmont,weiblich,K03252,3459
1980,Hameln-Pyrmont,,K03252,7955
1980,Hameln-Pyrmont,maennlich,K03252,4477
1980,Hameln-Pyrmont,weiblich,K03252,3478
1981,Hameln-Pyrmont,,K03252,8233
1981,Hameln-Pyrmont,maennlich,K03252,4638
1981,Hameln-Pyrmont,weiblich,K03252,3595
1982,Hameln-Pyrmont,,K03252,8251
1982,Hameln-Pyrmont,maennlich,K03252,4597
1982,Hameln-Pyrmont,weiblich,K03252,3654
1983,Hameln-Pyrmont,,K03252,7963
1983,Hameln-Pyrmont,maennlich,K03252,4402
1983,Hameln-Pyrmont,weiblich,K03252,3561
1984,Hameln-Pyrmont,,K03252,7123
1984,Hameln-Pyrmont,maennlich,K03252,3947
1984,Hameln-Pyrmont,weiblich,K03252,3176
1985,Hameln-Pyrmont,,K03252,6622
1985,Hameln-Pyrmont,maennlich,K03252,3696
1985,Hameln-Pyrmont,weiblich,K03252,2926
1986,Hameln-Pyrmont,,K03252,6775
1986,Hameln-Pyrmont,maennlich,K03252,3810
1986,Hameln-Pyrmont,weiblich,K03252,2965
1987,Hameln-Pyrmont,,K03252,6809
1987,Hameln-Pyrmont,maennlich,K03252,3802
1987,Hameln-Pyrmont,weiblich,K03252,3007
1990,Hameln-Pyrmont,,K03252,8274
1990,Hameln-Pyrmont,maennlich,K03252,4601
1990,Hameln-Pyrmont,weiblich,K03252,3673
1991,Hameln-Pyrmont,,K03252,9275
1991,Hameln-Pyrmont,maennlich,K03252,5110
1991,Hameln-Pyrmont,weiblich,K03252,4165
1992,Hameln-Pyrmont,,K03252,10705
1992,Hameln-Pyrmont,maennlich,K03252,5926
1992,Hameln-Pyrmont,weiblich,K03252,4779
1993,Hameln-Pyrmont,,K03252,11211
1993,Hameln-Pyrmont,maennlich,K03252,6185
1993,Hameln-Pyrmont,weiblich,K03252,5026
1994,Hameln-Pyrmont,,K03252,11549
1994,Hameln-Pyrmont,maennlich,K03252,6334
1994,Hameln-Pyrmont,weiblich,K03252,5215
1995,Hameln-Pyrmont,,K03252,12016
1995,Hameln-Pyrmont,maennlich,K03252,6548
1995,Hameln-Pyrmont,weiblich,K03252,5468
1996,Hameln-Pyrmont,,K03252,12625
1996,Hameln-Pyrmont,maennlich,K03252,6823
1996,Hameln-Pyrmont,weiblich,K03252,5802
1997,Hameln-Pyrmont,,K03252,12569
1997,Hameln-Pyrmont,maennlich,K03252,6737
1997,Hameln-Pyrmont,weiblich,K03252,5832
1998,Hameln-Pyrmont,,K03252,12348
1998,Hameln-Pyrmont,maennlich,K03252,6604
1998,Hameln-Pyrmont,weiblich,K03252,5744
1999,Hameln-Pyrmont,,K03252,12411
1999,Hameln-Pyrmont,maennlich,K03252,6592
1999,Hameln-Pyrmont,weiblich,K03252,5819
2000,Hameln-Pyrmont,,K03252,12438
2000,Hameln-Pyrmont,maennlich,K03252,6579
2000,Hameln-Pyrmont,weiblich,K03252,5859
2001,Hameln-Pyrmont,,K03252,12220
2001,Hameln-Pyrmont,maennlich,K03252,6423
2001,Hameln-Pyrmont,weiblich,K03252,5797
2002,Hameln-Pyrmont,,K03252,11794
2002,Hameln-Pyrmont,maennlich,K03252,6079
2002,Hameln-Pyrmont,weiblich,K03252,5715
2003,Hameln-Pyrmont,,K03252,11681
2003,Hameln-Pyrmont,maennlich,K03252,5941
2003,Hameln-Pyrmont,weiblich,K03252,5740
2004,Hameln-Pyrmont,,K03252,11200
2004,Hameln-Pyrmont,maennlich,K03252,5645
2004,Hameln-Pyrmont,weiblich,K03252,5555
2005,Hameln-Pyrmont,,K03252,11014
2005,Hameln-Pyrmont,maennlich,K03252,5545
2005,Hameln-Pyrmont,weiblich,K03252,5469
2006,Hameln-Pyrmont,,K03252,10617
2006,Hameln-Pyrmont,maennlich,K03252,5372
2006,Hameln-Pyrmont,weiblich,K03252,5245
2007,Hameln-Pyrmont,,K03252,10381
2007,Hameln-Pyrmont,maennlich,K03252,5199
2007,Hameln-Pyrmont,weiblich,K03252,5182
2008,Hameln-Pyrmont,,K03252,10213
2008,Hameln-Pyrmont,maennlich,K03252,5140
2008,Hameln-Pyrmont,weiblich,K03252,5073
2009,Hameln-Pyrmont,,K03252,10154
2009,Hameln-Pyrmont,maennlich,K03252,5033
2009,Hameln-Pyrmont,weiblich,K03252,5121
2010,Hameln-Pyrmont,,K03252,10394
2010,Hameln-Pyrmont,maennlich,K03252,5175
2010,Hameln-Pyrmont,weiblich,K03252,5219
2011,Hameln-Pyrmont,,K03252,10319
2011,Hameln-Pyrmont,maennlich,K03252,5136
2011,Hameln-Pyrmont,weiblich,K03252,5183
2012,Hameln-Pyrmont,,K03252,10342
2012,Hameln-Pyrmont,maennlich,K03252,5162
2012,Hameln-Pyrmont,weiblich,K03252,5180
2013,Hameln-Pyrmont,,K03252,10719
2013,Hameln-Pyrmont,maennlich,K03252,5378
2013,Hameln-Pyrmont,weiblich,K03252,5341
2014,Hameln-Pyrmont,,K03252,11665
2014,Hameln-Pyrmont,maennlich,K03252,5896
2014,Hameln-Pyrmont,weiblich,K03252,5769
2015,Hameln-Pyrmont,,K03252,13461
2015,Hameln-Pyrmont,maennlich,K03252,7009
2015,Hameln-Pyrmont,weiblich,K03252,6452
2016,Hameln-Pyrmont,,K03252,15065
2016,Hameln-Pyrmont,maennlich,K03252,7930
2016,Hameln-Pyrmont,weiblich,K03252,7135
2017,Hameln-Pyrmont,,K03252,15795
2017,Hameln-Pyrmont,maennlich,K03252,8255
2017,Hameln-Pyrmont,weiblich,K03252,7540
2018,Hameln-Pyrmont,,K03252,16535
2018,Hameln-Pyrmont,maennlich,K03252,8700
2018,Hameln-Pyrmont,weiblich,K03252,7830
1978,Hildesheim,,K03254,11164
1978,Hildesheim,maennlich,K03254,5989
1978,Hildesheim,weiblich,K03254,5175
1979,Hildesheim,,K03254,11428
1979,Hildesheim,maennlich,K03254,6195
1979,Hildesheim,weiblich,K03254,5233
1980,Hildesheim,,K03254,12239
1980,Hildesheim,maennlich,K03254,6739
1980,Hildesheim,weiblich,K03254,5500
1981,Hildesheim,,K03254,12621
1981,Hildesheim,maennlich,K03254,6972
1981,Hildesheim,weiblich,K03254,5649
1982,Hildesheim,,K03254,12496
1982,Hildesheim,maennlich,K03254,6874
1982,Hildesheim,weiblich,K03254,5622
1983,Hildesheim,,K03254,12189
1983,Hildesheim,maennlich,K03254,6659
1983,Hildesheim,weiblich,K03254,5530
1984,Hildesheim,,K03254,11174
1984,Hildesheim,maennlich,K03254,6133
1984,Hildesheim,weiblich,K03254,5041
1985,Hildesheim,,K03254,10674
1985,Hildesheim,maennlich,K03254,5916
1985,Hildesheim,weiblich,K03254,4758
1986,Hildesheim,,K03254,11034
1986,Hildesheim,maennlich,K03254,6204
1986,Hildesheim,weiblich,K03254,4830
1987,Hildesheim,,K03254,10881
1987,Hildesheim,maennlich,K03254,6029
1987,Hildesheim,weiblich,K03254,4852
1990,Hildesheim,,K03254,12600
1990,Hildesheim,maennlich,K03254,6930
1990,Hildesheim,weiblich,K03254,5670
1991,Hildesheim,,K03254,13320
1991,Hildesheim,maennlich,K03254,7388
1991,Hildesheim,weiblich,K03254,5932
1992,Hildesheim,,K03254,14605
1992,Hildesheim,maennlich,K03254,8156
1992,Hildesheim,weiblich,K03254,6449
1993,Hildesheim,,K03254,15463
1993,Hildesheim,maennlich,K03254,8574
1993,Hildesheim,weiblich,K03254,6889
1994,Hildesheim,,K03254,15136
1994,Hildesheim,maennlich,K03254,8237
1994,Hildesheim,weiblich,K03254,6899
1995,Hildesheim,,K03254,15845
1995,Hildesheim,maennlich,K03254,8616
1995,Hildesheim,weiblich,K03254,7229
1996,Hildesheim,,K03254,16140
1996,Hildesheim,maennlich,K03254,8780
1996,Hildesheim,weiblich,K03254,7360
1997,Hildesheim,,K03254,15892
1997,Hildesheim,maennlich,K03254,8543
1997,Hildesheim,weiblich,K03254,7349
1998,Hildesheim,,K03254,15337
1998,Hildesheim,maennlich,K03254,8146
1998,Hildesheim,weiblich,K03254,7191
1999,Hildesheim,,K03254,15366
1999,Hildesheim,maennlich,K03254,8070
1999,Hildesheim,weiblich,K03254,7296
2000,Hildesheim,,K03254,15008
2000,Hildesheim,maennlich,K03254,7747
2000,Hildesheim,weiblich,K03254,7261
2001,Hildesheim,,K03254,14795
2001,Hildesheim,maennlich,K03254,7612
2001,Hildesheim,weiblich,K03254,7183
2002,Hildesheim,,K03254,14847
2002,Hildesheim,maennlich,K03254,7525
2002,Hildesheim,weiblich,K03254,7322
2003,Hildesheim,,K03254,14923
2003,Hildesheim,maennlich,K03254,7508
2003,Hildesheim,weiblich,K03254,7415
2004,Hildesheim,,K03254,14917
2004,Hildesheim,maennlich,K03254,7440
2004,Hildesheim,weiblich,K03254,7477
2005,Hildesheim,,K03254,14631
2005,Hildesheim,maennlich,K03254,7236
2005,Hildesheim,weiblich,K03254,7395
2006,Hildesheim,,K03254,14237
2006,Hildesheim,maennlich,K03254,7005
2006,Hildesheim,weiblich,K03254,7232
2007,Hildesheim,,K03254,13889
2007,Hildesheim,maennlich,K03254,6781
2007,Hildesheim,weiblich,K03254,7108
2008,Hildesheim,,K03254,13669
2008,Hildesheim,maennlich,K03254,6655
2008,Hildesheim,weiblich,K03254,7014
2009,Hildesheim,,K03254,13466
2009,Hildesheim,maennlich,K03254,6571
2009,Hildesheim,weiblich,K03254,6895
2010,Hildesheim,,K03254,13637
2010,Hildesheim,maennlich,K03254,6665
2010,Hildesheim,weiblich,K03254,6972
2011,Hildesheim,,K03254,13859
2011,Hildesheim,maennlich,K03254,6797
2011,Hildesheim,weiblich,K03254,7062
2012,Hildesheim,,K03254,14417
2012,Hildesheim,maennlich,K03254,7144
2012,Hildesheim,weiblich,K03254,7273
2013,Hildesheim,,K03254,15353
2013,Hildesheim,maennlich,K03254,7716
2013,Hildesheim,weiblich,K03254,7637
2014,Hildesheim,,K03254,16412
2014,Hildesheim,maennlich,K03254,8347
2014,Hildesheim,weiblich,K03254,8065
2015,Hildesheim,,K03254,19567
2015,Hildesheim,maennlich,K03254,10449
2015,Hildesheim,weiblich,K03254,9118
2016,Hildesheim,,K03254,21915
2016,Hildesheim,maennlich,K03254,11915
2016,Hildesheim,weiblich,K03254,10005
2017,Hildesheim,,K03254,22775
2017,Hildesheim,maennlich,K03254,12310
2017,Hildesheim,weiblich,K03254,10465
2018,Hildesheim,,K03254,24090
2018,Hildesheim,maennlich,K03254,13035
2018,Hildesheim,weiblich,K03254,11055
1978,Holzminden,,K03255,2587
1978,Holzminden,maennlich,K03255,1502
1978,Holzminden,weiblich,K03255,1085
1979,Holzminden,,K03255,2737
1979,Holzminden,maennlich,K03255,1600
1979,Holzminden,weiblich,K03255,1137
1980,Holzminden,,K03255,3034
1980,Holzminden,maennlich,K03255,1780
1980,Holzminden,weiblich,K03255,1254
1981,Holzminden,,K03255,3053
