Year,Gebietseinheit,sex,GeoCode,Value
1993,Statistische Region Braunschweig,weiblich,,49593
1994,Statistische Region Braunschweig,,,109624
1994,Statistische Region Braunschweig,maennlich,,61268
1994,Statistische Region Braunschweig,weiblich,,48356
1995,Statistische Region Braunschweig,,,110606
1995,Statistische Region Braunschweig,maennlich,,61363
1995,Statistische Region Braunschweig,weiblich,,49243
1996,Statistische Region Braunschweig,,,110698
1996,Statistische Region Braunschweig,maennlich,,60913
1996,Statistische Region Braunschweig,weiblich,,49785
1997,Statistische Region Braunschweig,,,108694
1997,Statistische Region Braunschweig,maennlich,,59348
1997,Statistische Region Braunschweig,weiblich,,49346
1998,Statistische Region Braunschweig,,,106591
1998,Statistische Region Braunschweig,maennlich,,57622
1998,Statistische Region Braunschweig,weiblich,,48969
1999,Statistische Region Braunschweig,,,106307
1999,Statistische Region Braunschweig,maennlich,,56957
1999,Statistische Region Braunschweig,weiblich,,49350
2000,Statistische Region Braunschweig,,,105095
2000,Statistische Region Braunschweig,maennlich,,55939
2000,Statistische Region Braunschweig,weiblich,,49156
2001,Statistische Region Braunschweig,,,104159
2001,Statistische Region Braunschweig,maennlich,,55343
2001,Statistische Region Braunschweig,weiblich,,48816
2002,Statistische Region Braunschweig,,,103525
2002,Statistische Region Braunschweig,maennlich,,54729
2002,Statistische Region Braunschweig,weiblich,,48796
2003,Statistische Region Braunschweig,,,102680
2003,Statistische Region Braunschweig,maennlich,,53964
2003,Statistische Region Braunschweig,weiblich,,48716
2004,Statistische Region Braunschweig,,,100361
2004,Statistische Region Braunschweig,maennlich,,52338
2004,Statistische Region Braunschweig,weiblich,,48023
2005,Statistische Region Braunschweig,,,99536
2005,Statistische Region Braunschweig,maennlich,,51513
2005,Statistische Region Braunschweig,weiblich,,48023
2006,Statistische Region Braunschweig,,,97675
2006,Statistische Region Braunschweig,maennlich,,50273
2006,Statistische Region Braunschweig,weiblich,,47402
2007,Statistische Region Braunschweig,,,95376
2007,Statistische Region Braunschweig,maennlich,,48581
2007,Statistische Region Braunschweig,weiblich,,46795
2008,Statistische Region Braunschweig,,,93595
2008,Statistische Region Braunschweig,maennlich,,47557
2008,Statistische Region Braunschweig,weiblich,,46038
2009,Statistische Region Braunschweig,,,93485
2009,Statistische Region Braunschweig,maennlich,,47449
2009,Statistische Region Braunschweig,weiblich,,46036
2010,Statistische Region Braunschweig,,,93067
2010,Statistische Region Braunschweig,maennlich,,47131
2010,Statistische Region Braunschweig,weiblich,,45936
2011,Statistische Region Braunschweig,,,94569
2011,Statistische Region Braunschweig,maennlich,,47917
2011,Statistische Region Braunschweig,weiblich,,46652
2012,Statistische Region Braunschweig,,,97812
2012,Statistische Region Braunschweig,maennlich,,49887
2012,Statistische Region Braunschweig,weiblich,,47925
2013,Statistische Region Braunschweig,,,104548
2013,Statistische Region Braunschweig,maennlich,,53940
2013,Statistische Region Braunschweig,weiblich,,50608
2014,Statistische Region Braunschweig,,,112534
2014,Statistische Region Braunschweig,maennlich,,58394
2014,Statistische Region Braunschweig,weiblich,,54140
2015,Statistische Region Braunschweig,,,130933
2015,Statistische Region Braunschweig,maennlich,,69959
2015,Statistische Region Braunschweig,weiblich,,60974
2016,Statistische Region Braunschweig,,,145155
2016,Statistische Region Braunschweig,maennlich,,78495
2016,Statistische Region Braunschweig,weiblich,,66660
2017,Statistische Region Braunschweig,,,151170
2017,Statistische Region Braunschweig,maennlich,,81570
2017,Statistische Region Braunschweig,weiblich,,69600
2018,Statistische Region Braunschweig,,,158180
2018,Statistische Region Braunschweig,maennlich,,85145
2018,Statistische Region Braunschweig,weiblich,,73030
1978,Braunschweig-Stadt,,K03101,12395
1978,Braunschweig-Stadt,maennlich,K03101,7395
1978,Braunschweig-Stadt,weiblich,K03101,5000
1979,Braunschweig-Stadt,,K03101,13174
1979,Braunschweig-Stadt,maennlich,K03101,7907
1979,Braunschweig-Stadt,weiblich,K03101,5267
1980,Braunschweig-Stadt,,K03101,14519
1980,Braunschweig-Stadt,maennlich,K03101,8795
1980,Braunschweig-Stadt,weiblich,K03101,5724
1981,Braunschweig-Stadt,,K03101,15451
1981,Braunschweig-Stadt,maennlich,K03101,9339
1981,Braunschweig-Stadt,weiblich,K03101,6112
1982,Braunschweig-Stadt,,K03101,15235
1982,Braunschweig-Stadt,maennlich,K03101,9108
1982,Braunschweig-Stadt,weiblich,K03101,6127
1983,Braunschweig-Stadt,,K03101,14930
1983,Braunschweig-Stadt,maennlich,K03101,8874
1983,Braunschweig-Stadt,weiblich,K03101,6056
1984,Braunschweig-Stadt,,K03101,14427
1984,Braunschweig-Stadt,maennlich,K03101,8626
1984,Braunschweig-Stadt,weiblich,K03101,5801
1985,Braunschweig-Stadt,,K03101,14979
1985,Braunschweig-Stadt,maennlich,K03101,8961
1985,Braunschweig-Stadt,weiblich,K03101,6018
1986,Braunschweig-Stadt,,K03101,15209
1986,Braunschweig-Stadt,maennlich,K03101,9025
1986,Braunschweig-Stadt,weiblich,K03101,6184
1987,Braunschweig-Stadt,,K03101,15475
1987,Braunschweig-Stadt,maennlich,K03101,9040
1987,Braunschweig-Stadt,weiblich,K03101,6435
1990,Braunschweig-Stadt,,K03101,21253
1990,Braunschweig-Stadt,maennlich,K03101,12415
1990,Braunschweig-Stadt,weiblich,K03101,8838
1991,Braunschweig-Stadt,,K03101,25176
1991,Braunschweig-Stadt,maennlich,K03101,14916
1991,Braunschweig-Stadt,weiblich,K03101,10260
1992,Braunschweig-Stadt,,K03101,30916
1992,Braunschweig-Stadt,maennlich,K03101,18467
1992,Braunschweig-Stadt,weiblich,K03101,12449
1993,Braunschweig-Stadt,,K03101,28570
1993,Braunschweig-Stadt,maennlich,K03101,17280
1993,Braunschweig-Stadt,weiblich,K03101,11290
1994,Braunschweig-Stadt,,K03101,20930
1994,Braunschweig-Stadt,maennlich,K03101,12002
1994,Braunschweig-Stadt,weiblich,K03101,8928
1995,Braunschweig-Stadt,,K03101,20645
1995,Braunschweig-Stadt,maennlich,K03101,11705
1995,Braunschweig-Stadt,weiblich,K03101,8940
1996,Braunschweig-Stadt,,K03101,20043
1996,Braunschweig-Stadt,maennlich,K03101,11326
1996,Braunschweig-Stadt,weiblich,K03101,8717
1997,Braunschweig-Stadt,,K03101,19674
1997,Braunschweig-Stadt,maennlich,K03101,10998
1997,Braunschweig-Stadt,weiblich,K03101,8676
1998,Braunschweig-Stadt,,K03101,17392
1998,Braunschweig-Stadt,maennlich,K03101,9397
