Year,Gebietseinheit,Statistik,GeoCode,Value
2017,Wolfenbüttel-St,Nutzfläche des Gebäudes (100 qm),,39
2017,Wolfenbüttel (o,Nutzfläche des Gebäudes (100 qm),,49
2017,Göttingen,Nutzfläche des Gebäudes (100 qm),,2585
2017,Göttingen-Stadt,Nutzfläche des Gebäudes (100 qm),,1526
2017,Göttingen (oh.,Nutzfläche des Gebäudes (100 qm),,1058
2017,Hannover,Nutzfläche des Gebäudes (100 qm),,6894
2017,Hannover-Region,Nutzfläche des Gebäudes (100 qm),,4046
2017,Hannover-Landes,Nutzfläche des Gebäudes (100 qm),,1018
2017,Garbsen-Stadt,Nutzfläche des Gebäudes (100 qm),,436
2017,Langenhagen-Sta,Nutzfläche des Gebäudes (100 qm),,869
2017,Hann.Reg.(oh.Ha,Nutzfläche des Gebäudes (100 qm),,1723
2017,Diepholz,Nutzfläche des Gebäudes (100 qm),,744
2017,Hameln-Pyrmont,Nutzfläche des Gebäudes (100 qm),,168
2017,Hameln-Stadt,Nutzfläche des Gebäudes (100 qm),,133
2017,Hameln-Pyrmont,Nutzfläche des Gebäudes (100 qm),,35
2017,Hildesheim,Nutzfläche des Gebäudes (100 qm),,942
2017,Hildesheim-Stad,Nutzfläche des Gebäudes (100 qm),,508
2017,Hildesheim(oh.H,Nutzfläche des Gebäudes (100 qm),,434
2017,Holzminden,Nutzfläche des Gebäudes (100 qm),,184
2017,Nienburg (Weser,Nutzfläche des Gebäudes (100 qm),,383
2017,Schaumburg,Nutzfläche des Gebäudes (100 qm),,426
2017,Lüneburg,Nutzfläche des Gebäudes (100 qm),,8421
2017,Celle,Nutzfläche des Gebäudes (100 qm),,325
2017,Celle-Stadt,Nutzfläche des Gebäudes (100 qm),,146
2017,Celle (oh.Celle,Nutzfläche des Gebäudes (100 qm),,178
2017,Cuxhaven,Nutzfläche des Gebäudes (100 qm),,974
2017,Cuxhaven-Stadt,Nutzfläche des Gebäudes (100 qm),,170
2017,Cuxhaven (oh. C,Nutzfläche des Gebäudes (100 qm),,804
2017,Harburg,Nutzfläche des Gebäudes (100 qm),,1808
2017,Lüchow-Dannenbe,Nutzfläche des Gebäudes (100 qm),,275
2017,Lüneburg,Nutzfläche des Gebäudes (100 qm),,457
2017,Lüneburg-Hanses,Nutzfläche des Gebäudes (100 qm),,175
2017,Lüneburg (oh. L,Nutzfläche des Gebäudes (100 qm),,282
2017,Osterholz,Nutzfläche des Gebäudes (100 qm),,486
2017,Rotenburg (Wümm,Nutzfläche des Gebäudes (100 qm),,1184
2017,Heidekreis,Nutzfläche des Gebäudes (100 qm),,471
2017,Stade,Nutzfläche des Gebäudes (100 qm),,1350
2017,Stade-Hansestad,Nutzfläche des Gebäudes (100 qm),,367
2017,Stade (oh.Stade,Nutzfläche des Gebäudes (100 qm),,983
2017,Uelzen,Nutzfläche des Gebäudes (100 qm),,362
2017,Verden,Nutzfläche des Gebäudes (100 qm),,730
2017,Weser-Ems,Nutzfläche des Gebäudes (100 qm),,18270
2017,Delmenhorst-Sta,Nutzfläche des Gebäudes (100 qm),,232
2017,Emden-Stadt,Nutzfläche des Gebäudes (100 qm),,155
2017,Oldenburg(Oldb),Nutzfläche des Gebäudes (100 qm),,481
2017,Osnabrück Stadt,Nutzfläche des Gebäudes (100 qm),,385
2017,Wilhelmshaven S,Nutzfläche des Gebäudes (100 qm),,70
2017,Ammerland,Nutzfläche des Gebäudes (100 qm),,1175
2017,Aurich,Nutzfläche des Gebäudes (100 qm),,1109
2017,Cloppenburg,Nutzfläche des Gebäudes (100 qm),,1582
2017,Emsland,Nutzfläche des Gebäudes (100 qm),,4899
2017,Lingen (Ems) St,Nutzfläche des Gebäudes (100 qm),,451
2017,Emsland (oh. Li,Nutzfläche des Gebäudes (100 qm),,4449
2017,Friesland,Nutzfläche des Gebäudes (100 qm),,621
2017,Grafschaft Bent,Nutzfläche des Gebäudes (100 qm),,1373
2017,Nordhorn Stadt,Nutzfläche des Gebäudes (100 qm),,342
2017,Grfsch.Bentheim,Nutzfläche des Gebäudes (100 qm),,1030
2017,Leer,Nutzfläche des Gebäudes (100 qm),,647
2017,Oldenburg,Nutzfläche des Gebäudes (100 qm),,468
2017,Osnabrück,Nutzfläche des Gebäudes (100 qm),,2233
2017,Melle Stadt,Nutzfläche des Gebäudes (100 qm),,246
2017,Osnabrück (oh.M,Nutzfläche des Gebäudes (100 qm),,1987
2017,Vechta,Nutzfläche des Gebäudes (100 qm),,2214
2017,Wesermarsch,Nutzfläche des Gebäudes (100 qm),,253
2017,Wittmund,Nutzfläche des Gebäudes (100 qm),,373
2017,Niedersachsen,Veranschl. Kosten des Bauwerkes (1000 Euro),,7573199
2017,Braunschweig,Veranschl. Kosten des Bauwerkes (1000 Euro),,1413268
2017,Braunschweig St,Veranschl. Kosten des Bauwerkes (1000 Euro),,172373
2017,Salzgitter Stad,Veranschl. Kosten des Bauwerkes (1000 Euro),,49781
2017,Wolfsburg Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,269532
2017,Gifhorn,Veranschl. Kosten des Bauwerkes (1000 Euro),,220872
2017,Goslar,Veranschl. Kosten des Bauwerkes (1000 Euro),,26273
2017,Goslar Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,5679
2017,Goslar (oh. Gos,Veranschl. Kosten des Bauwerkes (1000 Euro),,20594
2017,Helmstedt,Veranschl. Kosten des Bauwerkes (1000 Euro),,63215
2017,Northeim,Veranschl. Kosten des Bauwerkes (1000 Euro),,102249
2017,Peine,Veranschl. Kosten des Bauwerkes (1000 Euro),,177503
2017,Peine Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,91534
2017,Peine (oh. Pein,Veranschl. Kosten des Bauwerkes (1000 Euro),,85969
2017,Wolfenbüttel,Veranschl. Kosten des Bauwerkes (1000 Euro),,41277
2017,Wolfenbüttel St,Veranschl. Kosten des Bauwerkes (1000 Euro),,18757
2017,Wolfenbüttel (o,Veranschl. Kosten des Bauwerkes (1000 Euro),,22520
2017,Göttingen,Veranschl. Kosten des Bauwerkes (1000 Euro),,290193
2017,Göttingen Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,147333
2017,Göttingen (oh.,Veranschl. Kosten des Bauwerkes (1000 Euro),,142860
2017,Hannover,Veranschl. Kosten des Bauwerkes (1000 Euro),,1423264
2017,Hannover Region,Veranschl. Kosten des Bauwerkes (1000 Euro),,907109
2017,Hannover Landes,Veranschl. Kosten des Bauwerkes (1000 Euro),,330682
2017,Garbsen Stadt,Veranschl. Kosten des Bauwerkes (1000 Euro),,79864
2017,Langenhagen Sta,Veranschl. Kosten des Bauwerkes (1000 Euro),,77303
2017,Hann.Reg.(oh.Ha,Veranschl. Kosten des Bauwerkes (1000 Euro),,419260
